tag,solver,nfe_budget,sampling_steps,actual_nfe,seed,AP,AP50,AP75,latency_ms_median,latency_ms_mean,wall_s
final_sdd,ddim,1,1,1,0,70.13489043266526,90.81796341731271,77.05142544567988,42.1,43.98,36.4
final_sdd,ddim,1,1,1,1,70.4191353521694,90.97110576982584,77.00549142703692,41.91,43.35,35.9
final_sdd,ddim,1,1,1,2,70.25741811393218,91.02555834376255,76.34868740328888,42.32,43.59,35.9
final_sdd,ddim,2,2,2,0,69.52081147725468,90.12880413601532,75.91769426080958,65.29,67.01,54.0
final_sdd,ddim,2,2,2,1,69.6900490301056,89.93817091867884,76.33028047063453,66.27,67.55,54.2
final_sdd,ddim,2,2,2,2,69.44507123583003,89.7798671065002,75.25949580648194,65.69,67.71,54.6
final_sdd,ddim,3,3,3,0,68.53520040250656,89.3250883884163,74.29025347134318,87.98,90.42,72.0
final_sdd,ddim,3,3,3,1,68.70947591938027,88.84831400668727,74.55191435325393,88.67,91.14,72.0
final_sdd,ddim,3,3,3,2,68.68006084873197,88.60769575016586,74.80122510565675,88.32,89.94,71.2
final_sdd,ddim,4,4,4,0,68.37728307605607,88.56394654970303,74.67556402929058,111.19,114.55,89.8
final_sdd,ddim,4,4,4,1,68.1925301750701,88.78600035990407,74.5516733050371,110.55,112.6,88.4
final_sdd,ddim,4,4,4,2,68.057397815104,88.28964068037433,74.05918552939688,111.61,115.3,90.4
final_sdd,ddim,6,6,6,0,67.48639653507713,87.59673165348596,73.61720880941672,157.1,161.89,125.9
final_sdd,ddim,6,6,6,1,67.75119997334158,88.40908823605467,72.93673166359935,155.48,159.08,123.4
final_sdd,ddim,6,6,6,2,67.67628156332873,88.35788724486503,73.33234855087059,156.15,159.71,123.7
final_sdd,ddim,8,8,8,0,67.0079893842226,87.464428834216,72.6587532717146,206.96,211.81,163.4
final_sdd,ddim,8,8,8,1,66.5151750514557,87.18971532614731,72.70969836374465,211.74,216.68,166.7
final_sdd,ddim,8,8,8,2,67.39211063865599,87.93383583894764,72.42970202406671,208.82,213.82,164.6
final_sdd,ddim,10,10,10,0,66.8234196225452,86.89394981454456,72.94720283430898,254.54,260.05,198.9
final_sdd,ddim,10,10,10,1,66.94007837207336,87.59879784773047,73.31113458199202,253.06,259.54,198.9
final_sdd,ddim,10,10,10,2,66.38113460005161,86.26608033174539,71.83023427611538,254.87,262.0,200.6
final_sdd,euler,1,1,1,0,70.13489043266526,90.81796341731271,77.05142544567988,40.54,41.24,34.2
final_sdd,euler,1,1,1,1,70.4191353521694,90.97110576982584,77.00549142703692,41.23,42.66,35.5
final_sdd,euler,1,1,1,2,70.25741811393218,91.02555834376255,76.34868740328888,40.39,41.39,34.3
final_sdd,euler,2,2,2,0,68.98632487639148,89.77845339842304,75.03925051921175,63.75,65.66,52.7
final_sdd,euler,2,2,2,1,69.14611079376196,89.79854680467915,75.592854527843,64.13,65.44,52.7
final_sdd,euler,2,2,2,2,68.8004646810412,89.89940285179507,74.60116317983704,65.92,67.36,54.3
final_sdd,euler,3,3,3,0,68.14386345799433,88.38806905670866,73.79352402056386,86.64,88.4,69.8
final_sdd,euler,3,3,3,1,68.36234999595312,88.72003688321192,74.56458316714894,86.44,88.44,70.1
final_sdd,euler,3,3,3,2,68.16254664783918,88.18468327971841,73.91023695587103,87.13,89.06,70.5
final_sdd,euler,4,4,4,0,68.22444966601434,88.35921377065975,74.55603314755656,107.65,110.09,86.5
final_sdd,euler,4,4,4,1,68.22090300546357,88.55304285193266,73.96353652852169,105.59,106.74,83.6
final_sdd,euler,4,4,4,2,68.34152264340972,88.37714040201772,73.92389984299629,110.14,113.71,89.1
final_sdd,euler,6,6,6,0,67.80239534495917,88.23779672196663,74.1590384600048,158.23,162.63,125.5
final_sdd,euler,6,6,6,1,67.64896242552403,87.8908386062919,73.87177785551575,158.5,163.65,126.5
final_sdd,euler,6,6,6,2,67.92263590998355,88.3175029889266,73.79787923093521,158.22,161.89,125.1
final_sdd,euler,8,8,8,0,67.6029314365317,88.0085787656583,73.89192520333972,202.91,207.67,159.1
final_sdd,euler,8,8,8,1,67.58070529232886,88.11464921882394,73.17190872511692,204.94,209.1,160.2
final_sdd,euler,8,8,8,2,67.49329741232113,87.76426334571754,73.34033329854222,203.42,208.63,159.8
final_sdd,euler,10,10,10,0,67.5691214860738,88.41104854084641,73.45159793535058,251.76,258.85,197.6
final_sdd,euler,10,10,10,1,67.37660407660042,87.87283215368488,73.56030310139471,242.59,247.32,188.6
final_sdd,euler,10,10,10,2,67.2283369654053,87.70096304549978,73.17409245392996,237.9,243.96,186.2
