tag,solver,nfe_budget,sampling_steps,actual_nfe,seed,AP,AP50,AP75,latency_ms_median,latency_ms_mean,wall_s
a1_renewal,ddim,2,2,2,0,61.85761660331772,84.16344604227137,65.0242288035793,66.62,69.59,55.6
a1_renewal,ddim,2,2,2,1,62.01672485819072,84.00463836951972,66.04519830899856,65.45,66.83,53.5
a1_renewal,ddim,2,2,2,2,62.122910425899825,84.12931463306953,65.19212342714165,64.61,66.43,53.1
a1_renewal,ddim,4,4,4,0,62.296055473697685,84.39958666525798,66.17196003687921,111.46,114.7,89.2
a1_renewal,ddim,4,4,4,1,61.736931530558934,84.01627153629614,65.80361161771835,113.02,115.13,89.9
a1_renewal,ddim,4,4,4,2,62.26315434560807,84.53605819288667,65.91428901288447,111.67,114.56,89.5
a1_renewal,ddim,8,8,8,0,61.994308272217744,84.00537209423833,66.25638968343894,207.01,209.96,160.8
a1_renewal,ddim,8,8,8,1,61.9531005904299,83.77388016960435,66.653461395877,205.0,208.48,160.3
a1_renewal,ddim,8,8,8,2,61.750710459353975,84.03870985057739,66.08464475216111,215.5,219.0,167.6
