tag,solver,nfe_budget,sampling_steps,actual_nfe,seed,AP,AP50,AP75,latency_ms_median,latency_ms_mean,wall_s
a2_ensemble,ddim,2,2,2,0,62.11402317816691,84.56338344590795,65.50857588209446,64.92,67.5,53.9
a2_ensemble,ddim,2,2,2,1,61.8711477948772,83.51425277754542,66.47014865893033,63.2,65.21,52.1
a2_ensemble,ddim,2,2,2,2,61.800384772663655,84.02370329651949,66.05315545855073,62.95,64.37,51.4
a2_ensemble,ddim,4,4,4,0,61.683205469475446,84.00336648731118,64.8618358547567,109.21,111.49,89.4
a2_ensemble,ddim,4,4,4,1,61.80322937981474,84.13522777496112,65.69109780358596,106.4,108.36,85.5
a2_ensemble,ddim,4,4,4,2,61.548485198146565,83.95030566979568,65.85123599422168,94.1,99.46,79.0
a2_ensemble,ddim,8,8,8,0,61.50464161034537,84.32660083454223,64.23406198109772,196.31,202.67,159.1
a2_ensemble,ddim,8,8,8,1,61.25809891093977,84.19656046501518,64.6823891142707,197.78,202.1,157.6
a2_ensemble,ddim,8,8,8,2,61.39495624658182,84.33852126400792,64.51950103021849,196.71,201.25,158.0
